City,Date,Score
Jacksonville,2016-01-24,1.4272726907634
Kansas City,2016-01-24,1.731145967084939
Las Vegas,2016-01-24,1.1647788973321351
Los Angeles,2016-01-24,1.3219250043184256
Miami,2016-01-24,1.7893584658618291
Minneapolis,2016-01-24,1.5558027562806174
Nashville,2016-01-24,1.4868354014047809
New York,2016-01-24,1.2482640231102604
Philadelphia,2016-01-24,1.2621695653775966
Phoenix,2016-01-24,1.3163918493418527
Pittsburgh,2016-01-24,1.6825544636658127
Portland,2016-01-24,1.0828218730815684
San Antonio,2016-01-24,1.4904016819089283
San Diego,2016-01-24,1.5028561403859653
San Francisco,2016-01-24,1.6006600449965636
Seattle,2016-01-24,1.3985097178390373
Vancouver,2016-01-24,1.5490908189716304
Albuquerque,2016-01-25,1.3213524395686138
Atlanta,2016-01-25,1.4917801163617546
Boston,2016-01-25,1.6983223887358454
